component,novelty_score_research_judgment,status,nearest_territory
Changing state spaces/meta-rules,10,Not claimed,"Evolving spaces, reflective rewriting, OEE"
Experiment simulability/deficiency,15,Reduction only,Blackwell and Le Cam
Resource convertibility,15,Reduction only,General/quantum resource theories
Pareto multi-resource trade-offs,25,Building block,Multiobjective optimization
Whole task-scale-error-budget-composition envelope,82,Core scoped contribution,Closest: operational/resource/reachability frameworks
Resource-scaled whole-envelope translation,84,Core scoped contribution,Closest: simulation preorders and resource convertibility
Strong proper-projection irreducibility in GC,78,Proved GC theorem,Combinatorial/marginal skeleton known
Unbounded generative order in GC,80,Proved GC hierarchy,Higher-order interaction ideas known
Convex generative reconstruction,72,Proved restricted theorem,Support functions and Banach-valued FTC established
Budgeted reachable-envelope transport,76,Proved GC structural theorem,Reachability transitivity established
Scalable reversal-cost separation,82,Proved construction,Complexity/reversibility relatives exist
New experimentally confirmed GC-specific physical law,0,Not claimed,Breakthrough threshold remains open
